intent_id,card_id,cycle_id,intended_fps_id,timestamp,commodity,delivery_mode
INT-2026-10-KA-000064,RC-KA-000064,2026-10,FPS-KA-BLR-R-0004,2026-09-06T22:36:45Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000065,RC-KA-000065,2026-10,FPS-KA-BLR-R-0005,2026-09-04T23:11:19Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000066,RC-KA-000066,2026-10,FPS-KA-BLR-R-0006,2026-09-12T05:17:09Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000067,RC-KA-000067,2026-10,FPS-KA-BLR-R-0007,2026-09-10T05:02:55Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000068,RC-KA-000068,2026-10,FPS-KA-BLR-R-0008,2026-09-07T13:15:21Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000069,RC-KA-000069,2026-10,FPS-KA-BLR-R-0009,2026-09-06T07:56:06Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000070,RC-KA-000070,2026-10,FPS-KA-BLR-R-0010,2026-09-08T20:54:30Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000071,RC-KA-000071,2026-10,FPS-KA-BLR-R-0011,2026-09-02T08:35:10Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000072,RC-KA-000072,2026-10,FPS-KA-BLR-R-0012,2026-09-06T13:25:48Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000073,RC-KA-000073,2026-10,FPS-KA-BLR-R-0013,2026-09-01T18:41:59Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000074,RC-KA-000074,2026-10,FPS-KA-BLR-R-0014,2026-09-08T15:45:52Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000075,RC-KA-000075,2026-10,FPS-KA-BLR-R-0015,2026-09-10T17:41:43Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000076,RC-KA-000076,2026-10,FPS-KA-BLR-R-0016,2026-09-07T11:58:13Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000077,RC-KA-000077,2026-10,FPS-KA-BLR-R-0017,2026-09-02T14:33:27Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000078,RC-KA-000078,2026-10,FPS-KA-BLR-R-0018,2026-09-06T02:54:23Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000079,RC-KA-000079,2026-10,FPS-KA-BLR-R-0019,2026-09-08T15:18:47Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000080,RC-KA-000080,2026-10,FPS-KA-BLR-R-0020,2026-09-06T03:51:50Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000081,RC-KA-000081,2026-10,FPS-KA-BLR-U-0001,2026-09-13T02:49:23Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000082,RC-KA-000082,2026-10,FPS-KA-BLR-U-0002,2026-09-10T14:28:20Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000083,RC-KA-000083,2026-10,FPS-KA-BLR-U-0003,2026-09-12T03:18:02Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000084,RC-KA-000084,2026-10,FPS-KA-BLR-U-0004,2026-09-04T11:13:43Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000085,RC-KA-000085,2026-10,FPS-KA-BLR-U-0005,2026-09-07T10:18:13Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000086,RC-KA-000086,2026-10,FPS-KA-BLR-U-0006,2026-09-04T09:20:26Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000087,RC-KA-000087,2026-10,FPS-KA-BLR-U-0007,2026-09-06T23:40:15Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000088,RC-KA-000088,2026-10,FPS-KA-BLR-U-0008,2026-09-07T09:03:29Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000089,RC-KA-000089,2026-10,FPS-KA-BLR-U-0009,2026-09-11T09:34:50Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000090,RC-KA-000090,2026-10,FPS-KA-BLR-U-0010,2026-09-10T16:40:03Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000091,RC-KA-000091,2026-10,FPS-KA-BLR-U-0011,2026-09-09T18:52:41Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000092,RC-KA-000092,2026-10,FPS-KA-BLR-U-0012,2026-09-06T07:45:48Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000093,RC-KA-000093,2026-10,FPS-KA-BLR-U-0013,2026-09-04T08:35:02Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000094,RC-KA-000094,2026-10,FPS-KA-BLR-U-0014,2026-09-13T08:49:14Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000095,RC-KA-000095,2026-10,FPS-KA-BLR-U-0015,2026-09-12T23:29:37Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000096,RC-KA-000096,2026-10,FPS-KA-BLR-U-0016,2026-09-03T04:57:30Z,Coarse Grains,FPS_COLLECTION
INT-2026-10-KA-000097,RC-KA-000097,2026-10,FPS-KA-BLR-U-0017,2026-09-02T03:26:50Z,Coarse Grains,FPS_COLLECTION
INT-2026-10-KA-000098,RC-KA-000098,2026-10,FPS-KA-BLR-U-0018,2026-09-03T15:52:30Z,Coarse Grains,FPS_COLLECTION
INT-2026-10-KA-000099,RC-KA-000099,2026-10,FPS-KA-BLR-U-0019,2026-09-04T17:02:11Z,Coarse Grains,FPS_COLLECTION
INT-2026-10-KA-000100,RC-KA-000100,2026-10,FPS-KA-BLR-U-0020,2026-09-04T21:11:46Z,Coarse Grains,FPS_COLLECTION
INT-2026-10-KA-000101,RC-KA-000101,2026-10,FPS-KA-BID-0001,2026-09-11T05:55:33Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000102,RC-KA-000102,2026-10,FPS-KA-BID-0002,2026-09-02T13:00:27Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000103,RC-KA-000103,2026-10,FPS-KA-BID-0003,2026-09-10T08:08:35Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000104,RC-KA-000104,2026-10,FPS-KA-BID-0004,2026-09-10T06:18:33Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000105,RC-KA-000105,2026-10,FPS-KA-BID-0005,2026-09-12T08:39:31Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000106,RC-KA-000106,2026-10,FPS-KA-BID-0006,2026-09-13T20:13:53Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000107,RC-KA-000107,2026-10,FPS-KA-BID-0007,2026-09-07T02:27:33Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000108,RC-KA-000108,2026-10,FPS-KA-BID-0008,2026-09-01T06:41:17Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000109,RC-KA-000109,2026-10,FPS-KA-BID-0009,2026-09-03T18:43:52Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000110,RC-KA-000110,2026-10,FPS-KA-BID-0010,2026-09-07T11:26:12Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000111,RC-KA-000111,2026-10,FPS-KA-BID-0011,2026-09-09T06:09:59Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000112,RC-KA-000112,2026-10,FPS-KA-BID-0012,2026-09-03T16:59:01Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000113,RC-KA-000113,2026-10,FPS-KA-BID-0013,2026-09-08T02:58:34Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000114,RC-KA-000114,2026-10,FPS-KA-BID-0014,2026-09-11T13:16:08Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000115,RC-KA-000115,2026-10,FPS-KA-BID-0015,2026-09-04T20:08:00Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000116,RC-KA-000116,2026-10,FPS-KA-BID-0016,2026-09-12T00:18:47Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000117,RC-KA-000117,2026-10,FPS-KA-BID-0017,2026-09-01T01:53:25Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000118,RC-KA-000118,2026-10,FPS-KA-BID-0018,2026-09-07T09:26:06Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000119,RC-KA-000119,2026-10,FPS-KA-BID-0019,2026-09-13T03:36:45Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000120,RC-KA-000120,2026-10,FPS-KA-BID-0020,2026-09-05T08:04:20Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000121,RC-KA-000121,2026-10,FPS-KA-CHA-0001,2026-09-13T07:44:45Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000122,RC-KA-000122,2026-10,FPS-KA-CHA-0002,2026-09-03T13:59:19Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000123,RC-KA-000123,2026-10,FPS-KA-CHA-0003,2026-09-08T05:51:24Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000124,RC-KA-000124,2026-10,FPS-KA-CHA-0004,2026-09-13T07:44:06Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000125,RC-KA-000125,2026-10,FPS-KA-CHA-0005,2026-09-05T19:52:26Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000126,RC-KA-000126,2026-10,FPS-KA-CHA-0006,2026-09-04T17:02:07Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000127,RC-KA-000127,2026-10,FPS-KA-CHA-0007,2026-09-10T01:49:14Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000128,RC-KA-000128,2026-10,FPS-KA-CHA-0008,2026-09-04T22:06:32Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000129,RC-KA-000129,2026-10,FPS-KA-CHA-0009,2026-09-13T20:57:12Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000130,RC-KA-000130,2026-10,FPS-KA-CHA-0010,2026-09-01T00:19:59Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000131,RC-KA-000131,2026-10,FPS-KA-CHA-0011,2026-09-08T20:50:04Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000132,RC-KA-000132,2026-10,FPS-KA-CHA-0012,2026-09-12T20:38:00Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000133,RC-KA-000133,2026-10,FPS-KA-CHA-0013,2026-09-01T11:20:45Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000134,RC-KA-000134,2026-10,FPS-KA-CHA-0014,2026-09-03T17:10:03Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000135,RC-KA-000135,2026-10,FPS-KA-CHA-0015,2026-09-09T19:27:05Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000136,RC-KA-000136,2026-10,FPS-KA-CHA-0016,2026-09-08T11:08:23Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000137,RC-KA-000137,2026-10,FPS-KA-CHA-0017,2026-09-06T19:29:27Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000138,RC-KA-000138,2026-10,FPS-KA-CHA-0018,2026-09-02T09:44:37Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000139,RC-KA-000139,2026-10,FPS-KA-CHA-0019,2026-09-06T20:19:04Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000140,RC-KA-000140,2026-10,FPS-KA-CHA-0020,2026-09-02T21:52:45Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000141,RC-KA-000141,2026-10,FPS-KA-CHB-0001,2026-09-03T01:53:48Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000142,RC-KA-000142,2026-10,FPS-KA-CHB-0002,2026-09-12T19:06:35Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000143,RC-KA-000143,2026-10,FPS-KA-CHB-0003,2026-09-02T16:19:09Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000144,RC-KA-000144,2026-10,FPS-KA-CHB-0004,2026-09-13T22:19:25Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000145,RC-KA-000145,2026-10,FPS-KA-CHB-0005,2026-09-04T01:15:38Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000146,RC-KA-000146,2026-10,FPS-KA-CHB-0006,2026-09-04T02:47:36Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000147,RC-KA-000147,2026-10,FPS-KA-CHB-0007,2026-09-12T12:52:19Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000148,RC-KA-000148,2026-10,FPS-KA-CHB-0008,2026-09-05T00:11:36Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000149,RC-KA-000149,2026-10,FPS-KA-CHB-0009,2026-09-07T10:24:24Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000150,RC-KA-000150,2026-10,FPS-KA-CHB-0010,2026-09-13T19:23:32Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000151,RC-KA-000151,2026-10,FPS-KA-CHB-0011,2026-09-11T06:29:44Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000152,RC-KA-000152,2026-10,FPS-KA-CHB-0012,2026-09-06T03:22:53Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000153,RC-KA-000153,2026-10,FPS-KA-CHB-0013,2026-09-05T21:10:44Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000154,RC-KA-000154,2026-10,FPS-KA-CHB-0014,2026-09-08T13:35:16Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000155,RC-KA-000155,2026-10,FPS-KA-CHB-0015,2026-09-10T16:25:47Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000156,RC-KA-000156,2026-10,FPS-KA-CHB-0016,2026-09-10T01:31:59Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000157,RC-KA-000157,2026-10,FPS-KA-CHB-0017,2026-09-11T15:12:42Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000158,RC-KA-000158,2026-10,FPS-KA-CHB-0018,2026-09-13T13:30:35Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000159,RC-KA-000159,2026-10,FPS-KA-CHB-0019,2026-09-11T23:00:35Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000160,RC-KA-000160,2026-10,FPS-KA-CHB-0020,2026-09-03T22:29:24Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000161,RC-KA-000161,2026-10,FPS-KA-CHK-0001,2026-09-07T00:24:55Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000162,RC-KA-000162,2026-10,FPS-KA-CHK-0002,2026-09-06T10:53:44Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000163,RC-KA-000163,2026-10,FPS-KA-CHK-0003,2026-09-02T13:17:52Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000164,RC-KA-000164,2026-10,FPS-KA-CHK-0004,2026-09-09T04:56:56Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000165,RC-KA-000165,2026-10,FPS-KA-CHK-0005,2026-09-01T12:15:12Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000166,RC-KA-000166,2026-10,FPS-KA-CHK-0006,2026-09-06T14:03:05Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000167,RC-KA-000167,2026-10,FPS-KA-CHK-0007,2026-09-06T08:17:09Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000168,RC-KA-000168,2026-10,FPS-KA-CHK-0008,2026-09-01T04:11:20Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000169,RC-KA-000169,2026-10,FPS-KA-CHK-0009,2026-09-02T17:21:23Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000170,RC-KA-000170,2026-10,FPS-KA-CHK-0010,2026-09-02T10:17:47Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000171,RC-KA-000171,2026-10,FPS-KA-CHK-0011,2026-09-06T13:22:05Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000172,RC-KA-000172,2026-10,FPS-KA-CHK-0012,2026-09-02T15:15:48Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000173,RC-KA-000173,2026-10,FPS-KA-CHK-0013,2026-09-01T18:17:57Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000174,RC-KA-000174,2026-10,FPS-KA-CHK-0014,2026-09-09T00:29:18Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000175,RC-KA-000175,2026-10,FPS-KA-CHK-0015,2026-09-02T17:16:38Z,Rice,FPS_COLLECTION
INT-2026-10-KA-000176,RC-KA-000176,2026-10,FPS-KA-CHK-0016,2026-09-13T11:31:03Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000177,RC-KA-000177,2026-10,FPS-KA-CHK-0017,2026-09-06T18:38:51Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000178,RC-KA-000178,2026-10,FPS-KA-CHK-0018,2026-09-07T18:13:29Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000179,RC-KA-000179,2026-10,FPS-KA-CHK-0019,2026-09-12T18:46:27Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000180,RC-KA-000180,2026-10,FPS-KA-CHK-0020,2026-09-06T04:48:07Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000181,RC-KA-000181,2026-10,FPS-KA-CHI-0001,2026-09-04T05:04:38Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000182,RC-KA-000182,2026-10,FPS-KA-CHI-0002,2026-09-12T11:21:02Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000183,RC-KA-000183,2026-10,FPS-KA-CHI-0003,2026-09-06T21:33:22Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000184,RC-KA-000184,2026-10,FPS-KA-CHI-0004,2026-09-12T11:31:36Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000185,RC-KA-000185,2026-10,FPS-KA-CHI-0005,2026-09-10T21:07:46Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000186,RC-KA-000186,2026-10,FPS-KA-CHI-0006,2026-09-05T14:55:18Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000187,RC-KA-000187,2026-10,FPS-KA-CHI-0007,2026-09-03T06:56:55Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000188,RC-KA-000188,2026-10,FPS-KA-CHI-0008,2026-09-03T08:27:58Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000189,RC-KA-000189,2026-10,FPS-KA-CHI-0009,2026-09-11T11:06:19Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000190,RC-KA-000190,2026-10,FPS-KA-CHI-0010,2026-09-09T14:23:35Z,Wheat,FPS_COLLECTION
INT-2026-10-KA-000191,RC-KA-000191,2026-10,FPS-KA-CHI-0011,2026-09-11T06:45:08Z,Wheat,FPS_COLLECTION
