truck_id,godown_id,district,payload_capacity_mt
TRK-KA-0041,GDN-KA-0009,Bengaluru Urban,15.0
TRK-KA-0042,GDN-KA-0009,Bengaluru Urban,10.0
TRK-KA-0043,GDN-KA-0009,Bengaluru Urban,7.0
TRK-KA-0044,GDN-KA-0009,Bengaluru Urban,12.0
TRK-KA-0045,GDN-KA-0009,Bengaluru Urban,12.0
TRK-KA-0046,GDN-KA-0010,Bengaluru Urban,12.0
TRK-KA-0047,GDN-KA-0010,Bengaluru Urban,7.0
TRK-KA-0048,GDN-KA-0010,Bengaluru Urban,10.0
TRK-KA-0049,GDN-KA-0010,Bengaluru Urban,7.0
TRK-KA-0050,GDN-KA-0010,Bengaluru Urban,7.0
TRK-KA-0051,GDN-KA-0011,Bidar,15.0
TRK-KA-0052,GDN-KA-0011,Bidar,15.0
TRK-KA-0053,GDN-KA-0011,Bidar,10.0
TRK-KA-0054,GDN-KA-0011,Bidar,15.0
TRK-KA-0055,GDN-KA-0011,Bidar,12.0
TRK-KA-0056,GDN-KA-0012,Bidar,15.0
TRK-KA-0057,GDN-KA-0012,Bidar,12.0
TRK-KA-0058,GDN-KA-0012,Bidar,10.0
TRK-KA-0059,GDN-KA-0012,Bidar,7.0
TRK-KA-0060,GDN-KA-0012,Bidar,7.0
TRK-KA-0061,GDN-KA-0013,Chamarajanagar,15.0
TRK-KA-0062,GDN-KA-0013,Chamarajanagar,12.0
TRK-KA-0063,GDN-KA-0013,Chamarajanagar,5.0
TRK-KA-0064,GDN-KA-0013,Chamarajanagar,5.0
TRK-KA-0065,GDN-KA-0013,Chamarajanagar,5.0
TRK-KA-0066,GDN-KA-0014,Chamarajanagar,7.0
TRK-KA-0067,GDN-KA-0014,Chamarajanagar,7.0
TRK-KA-0068,GDN-KA-0014,Chamarajanagar,12.0
TRK-KA-0069,GDN-KA-0014,Chamarajanagar,15.0
TRK-KA-0070,GDN-KA-0014,Chamarajanagar,5.0
TRK-KA-0071,GDN-KA-0015,Chikkaballapur,12.0
TRK-KA-0072,GDN-KA-0015,Chikkaballapur,12.0
TRK-KA-0073,GDN-KA-0015,Chikkaballapur,15.0
TRK-KA-0074,GDN-KA-0015,Chikkaballapur,12.0
TRK-KA-0075,GDN-KA-0015,Chikkaballapur,15.0
TRK-KA-0076,GDN-KA-0016,Chikkaballapur,10.0
TRK-KA-0077,GDN-KA-0016,Chikkaballapur,15.0
TRK-KA-0078,GDN-KA-0016,Chikkaballapur,5.0
TRK-KA-0079,GDN-KA-0016,Chikkaballapur,5.0
TRK-KA-0080,GDN-KA-0016,Chikkaballapur,15.0
TRK-KA-0081,GDN-KA-0017,Chikkamagaluru,10.0
TRK-KA-0082,GDN-KA-0017,Chikkamagaluru,10.0
TRK-KA-0083,GDN-KA-0017,Chikkamagaluru,5.0
TRK-KA-0084,GDN-KA-0017,Chikkamagaluru,10.0
TRK-KA-0085,GDN-KA-0017,Chikkamagaluru,12.0
TRK-KA-0086,GDN-KA-0018,Chikkamagaluru,7.0
TRK-KA-0087,GDN-KA-0018,Chikkamagaluru,12.0
TRK-KA-0088,GDN-KA-0018,Chikkamagaluru,5.0
TRK-KA-0089,GDN-KA-0018,Chikkamagaluru,10.0
TRK-KA-0090,GDN-KA-0018,Chikkamagaluru,15.0
TRK-KA-0091,GDN-KA-0019,Chitradurga,7.0
TRK-KA-0092,GDN-KA-0019,Chitradurga,15.0
TRK-KA-0093,GDN-KA-0019,Chitradurga,5.0
TRK-KA-0094,GDN-KA-0019,Chitradurga,10.0
TRK-KA-0095,GDN-KA-0019,Chitradurga,15.0
TRK-KA-0096,GDN-KA-0020,Chitradurga,15.0
TRK-KA-0097,GDN-KA-0020,Chitradurga,7.0
TRK-KA-0098,GDN-KA-0020,Chitradurga,7.0
TRK-KA-0099,GDN-KA-0020,Chitradurga,10.0
TRK-KA-0100,GDN-KA-0020,Chitradurga,7.0
TRK-KA-0101,GDN-KA-0021,Dakshina Kannada,15.0
TRK-KA-0102,GDN-KA-0021,Dakshina Kannada,15.0
TRK-KA-0103,GDN-KA-0021,Dakshina Kannada,5.0
TRK-KA-0104,GDN-KA-0021,Dakshina Kannada,15.0
TRK-KA-0105,GDN-KA-0021,Dakshina Kannada,10.0
TRK-KA-0106,GDN-KA-0022,Dakshina Kannada,12.0
TRK-KA-0107,GDN-KA-0022,Dakshina Kannada,5.0
TRK-KA-0108,GDN-KA-0022,Dakshina Kannada,5.0
TRK-KA-0109,GDN-KA-0022,Dakshina Kannada,10.0
TRK-KA-0110,GDN-KA-0022,Dakshina Kannada,10.0
TRK-KA-0111,GDN-KA-0023,Davanagere,7.0
TRK-KA-0112,GDN-KA-0023,Davanagere,5.0
TRK-KA-0113,GDN-KA-0023,Davanagere,7.0
TRK-KA-0114,GDN-KA-0023,Davanagere,15.0
TRK-KA-0115,GDN-KA-0023,Davanagere,5.0
TRK-KA-0116,GDN-KA-0024,Davanagere,5.0
TRK-KA-0117,GDN-KA-0024,Davanagere,12.0
TRK-KA-0118,GDN-KA-0024,Davanagere,5.0
TRK-KA-0119,GDN-KA-0024,Davanagere,15.0
TRK-KA-0120,GDN-KA-0024,Davanagere,7.0
TRK-KA-0121,GDN-KA-0025,Dharwad,7.0
TRK-KA-0122,GDN-KA-0025,Dharwad,12.0
TRK-KA-0123,GDN-KA-0025,Dharwad,15.0
TRK-KA-0124,GDN-KA-0025,Dharwad,7.0
TRK-KA-0125,GDN-KA-0025,Dharwad,10.0
TRK-KA-0126,GDN-KA-0026,Dharwad,15.0
TRK-KA-0127,GDN-KA-0026,Dharwad,15.0
TRK-KA-0128,GDN-KA-0026,Dharwad,12.0
TRK-KA-0129,GDN-KA-0026,Dharwad,7.0
TRK-KA-0130,GDN-KA-0026,Dharwad,15.0
TRK-KA-0131,GDN-KA-0027,Gadag,7.0
TRK-KA-0132,GDN-KA-0027,Gadag,10.0
TRK-KA-0133,GDN-KA-0027,Gadag,12.0
TRK-KA-0134,GDN-KA-0027,Gadag,10.0
TRK-KA-0135,GDN-KA-0027,Gadag,12.0
TRK-KA-0136,GDN-KA-0028,Gadag,15.0
TRK-KA-0137,GDN-KA-0028,Gadag,12.0
TRK-KA-0138,GDN-KA-0028,Gadag,5.0
TRK-KA-0139,GDN-KA-0028,Gadag,7.0
TRK-KA-0140,GDN-KA-0028,Gadag,7.0
TRK-KA-0141,GDN-KA-0029,Hassan,5.0
TRK-KA-0142,GDN-KA-0029,Hassan,10.0
TRK-KA-0143,GDN-KA-0029,Hassan,5.0
TRK-KA-0144,GDN-KA-0029,Hassan,15.0
TRK-KA-0145,GDN-KA-0029,Hassan,15.0
TRK-KA-0146,GDN-KA-0030,Hassan,7.0
TRK-KA-0147,GDN-KA-0030,Hassan,15.0
TRK-KA-0148,GDN-KA-0030,Hassan,7.0
TRK-KA-0149,GDN-KA-0030,Hassan,5.0
TRK-KA-0150,GDN-KA-0030,Hassan,5.0
TRK-KA-0151,GDN-KA-0031,Haveri,5.0
TRK-KA-0152,GDN-KA-0031,Haveri,7.0
TRK-KA-0153,GDN-KA-0031,Haveri,5.0
TRK-KA-0154,GDN-KA-0031,Haveri,5.0
TRK-KA-0155,GDN-KA-0031,Haveri,10.0
TRK-KA-0156,GDN-KA-0032,Haveri,5.0
TRK-KA-0157,GDN-KA-0032,Haveri,15.0
TRK-KA-0158,GDN-KA-0032,Haveri,7.0
TRK-KA-0159,GDN-KA-0032,Haveri,10.0
TRK-KA-0160,GDN-KA-0032,Haveri,12.0
TRK-KA-0161,GDN-KA-0033,Kalaburagi,7.0
TRK-KA-0162,GDN-KA-0033,Kalaburagi,15.0
TRK-KA-0163,GDN-KA-0033,Kalaburagi,7.0
TRK-KA-0164,GDN-KA-0033,Kalaburagi,15.0
TRK-KA-0165,GDN-KA-0033,Kalaburagi,15.0
TRK-KA-0166,GDN-KA-0034,Kalaburagi,12.0
TRK-KA-0167,GDN-KA-0034,Kalaburagi,7.0
TRK-KA-0168,GDN-KA-0034,Kalaburagi,12.0
TRK-KA-0169,GDN-KA-0034,Kalaburagi,12.0
TRK-KA-0170,GDN-KA-0034,Kalaburagi,7.0
TRK-KA-0171,GDN-KA-0035,Kodagu,5.0
TRK-KA-0172,GDN-KA-0035,Kodagu,5.0
TRK-KA-0173,GDN-KA-0035,Kodagu,12.0
TRK-KA-0174,GDN-KA-0035,Kodagu,10.0
TRK-KA-0175,GDN-KA-0035,Kodagu,12.0
TRK-KA-0176,GDN-KA-0036,Kodagu,12.0
TRK-KA-0177,GDN-KA-0036,Kodagu,12.0
TRK-KA-0178,GDN-KA-0036,Kodagu,5.0
TRK-KA-0179,GDN-KA-0036,Kodagu,5.0
TRK-KA-0180,GDN-KA-0036,Kodagu,5.0
TRK-KA-0181,GDN-KA-0037,Kolar,12.0
TRK-KA-0182,GDN-KA-0037,Kolar,10.0
TRK-KA-0183,GDN-KA-0037,Kolar,5.0
TRK-KA-0184,GDN-KA-0037,Kolar,7.0
TRK-KA-0185,GDN-KA-0037,Kolar,7.0
TRK-KA-0186,GDN-KA-0038,Kolar,7.0
TRK-KA-0187,GDN-KA-0038,Kolar,15.0
TRK-KA-0188,GDN-KA-0038,Kolar,12.0
TRK-KA-0189,GDN-KA-0038,Kolar,7.0
TRK-KA-0190,GDN-KA-0038,Kolar,12.0
TRK-KA-0191,GDN-KA-0039,Koppal,7.0
TRK-KA-0192,GDN-KA-0039,Koppal,10.0
TRK-KA-0193,GDN-KA-0039,Koppal,12.0
TRK-KA-0194,GDN-KA-0039,Koppal,7.0
TRK-KA-0195,GDN-KA-0039,Koppal,5.0
TRK-KA-0196,GDN-KA-0040,Koppal,12.0
TRK-KA-0197,GDN-KA-0040,Koppal,15.0
TRK-KA-0198,GDN-KA-0040,Koppal,5.0
TRK-KA-0199,GDN-KA-0040,Koppal,5.0
TRK-KA-0200,GDN-KA-0040,Koppal,15.0
TRK-KA-0201,GDN-KA-0041,Mandya,5.0
TRK-KA-0202,GDN-KA-0041,Mandya,5.0
TRK-KA-0203,GDN-KA-0041,Mandya,7.0
TRK-KA-0204,GDN-KA-0041,Mandya,7.0
TRK-KA-0205,GDN-KA-0041,Mandya,12.0
TRK-KA-0206,GDN-KA-0042,Mandya,12.0
TRK-KA-0207,GDN-KA-0042,Mandya,12.0
TRK-KA-0208,GDN-KA-0042,Mandya,7.0
TRK-KA-0209,GDN-KA-0042,Mandya,12.0
TRK-KA-0210,GDN-KA-0042,Mandya,5.0
TRK-KA-0211,GDN-KA-0043,Mysuru,7.0
TRK-KA-0212,GDN-KA-0043,Mysuru,12.0
TRK-KA-0213,GDN-KA-0043,Mysuru,5.0
TRK-KA-0214,GDN-KA-0043,Mysuru,12.0
TRK-KA-0215,GDN-KA-0043,Mysuru,10.0
TRK-KA-0216,GDN-KA-0044,Mysuru,12.0
TRK-KA-0217,GDN-KA-0044,Mysuru,10.0
TRK-KA-0218,GDN-KA-0044,Mysuru,12.0
TRK-KA-0219,GDN-KA-0044,Mysuru,15.0
TRK-KA-0220,GDN-KA-0044,Mysuru,12.0
TRK-KA-0221,GDN-KA-0045,Raichur,7.0
TRK-KA-0222,GDN-KA-0045,Raichur,7.0
TRK-KA-0223,GDN-KA-0045,Raichur,10.0
TRK-KA-0224,GDN-KA-0045,Raichur,7.0
TRK-KA-0225,GDN-KA-0045,Raichur,5.0
TRK-KA-0226,GDN-KA-0046,Raichur,15.0
TRK-KA-0227,GDN-KA-0046,Raichur,15.0
TRK-KA-0228,GDN-KA-0046,Raichur,5.0
TRK-KA-0229,GDN-KA-0046,Raichur,10.0
TRK-KA-0230,GDN-KA-0046,Raichur,5.0
TRK-KA-0231,GDN-KA-0047,Ramanagara,5.0
TRK-KA-0232,GDN-KA-0047,Ramanagara,15.0
TRK-KA-0233,GDN-KA-0047,Ramanagara,12.0
TRK-KA-0234,GDN-KA-0047,Ramanagara,15.0
TRK-KA-0235,GDN-KA-0047,Ramanagara,15.0
TRK-KA-0236,GDN-KA-0048,Ramanagara,7.0
TRK-KA-0237,GDN-KA-0048,Ramanagara,5.0
TRK-KA-0238,GDN-KA-0048,Ramanagara,15.0
TRK-KA-0239,GDN-KA-0048,Ramanagara,5.0
TRK-KA-0240,GDN-KA-0048,Ramanagara,7.0
TRK-KA-0241,GDN-KA-0049,Shivamogga,5.0
TRK-KA-0242,GDN-KA-0049,Shivamogga,15.0
TRK-KA-0243,GDN-KA-0049,Shivamogga,5.0
TRK-KA-0244,GDN-KA-0049,Shivamogga,7.0
TRK-KA-0245,GDN-KA-0049,Shivamogga,12.0
TRK-KA-0246,GDN-KA-0050,Shivamogga,5.0
TRK-KA-0247,GDN-KA-0050,Shivamogga,15.0
TRK-KA-0248,GDN-KA-0050,Shivamogga,7.0
TRK-KA-0249,GDN-KA-0050,Shivamogga,15.0
TRK-KA-0250,GDN-KA-0050,Shivamogga,15.0
TRK-KA-0251,GDN-KA-0051,Tumakuru,5.0
TRK-KA-0252,GDN-KA-0051,Tumakuru,15.0
TRK-KA-0253,GDN-KA-0051,Tumakuru,5.0
TRK-KA-0254,GDN-KA-0051,Tumakuru,12.0
TRK-KA-0255,GDN-KA-0051,Tumakuru,15.0
TRK-KA-0256,GDN-KA-0052,Tumakuru,15.0
TRK-KA-0257,GDN-KA-0052,Tumakuru,15.0
TRK-KA-0258,GDN-KA-0052,Tumakuru,10.0
TRK-KA-0259,GDN-KA-0052,Tumakuru,10.0
TRK-KA-0260,GDN-KA-0052,Tumakuru,7.0
TRK-KA-0261,GDN-KA-0053,Udupi,10.0
TRK-KA-0262,GDN-KA-0053,Udupi,7.0
TRK-KA-0263,GDN-KA-0053,Udupi,10.0
TRK-KA-0264,GDN-KA-0053,Udupi,12.0
TRK-KA-0265,GDN-KA-0053,Udupi,7.0
TRK-KA-0266,GDN-KA-0054,Udupi,10.0
TRK-KA-0267,GDN-KA-0054,Udupi,12.0
TRK-KA-0268,GDN-KA-0054,Udupi,10.0
TRK-KA-0269,GDN-KA-0054,Udupi,5.0
TRK-KA-0270,GDN-KA-0054,Udupi,5.0
TRK-KA-0271,GDN-KA-0055,Uttara Kannada,12.0
TRK-KA-0272,GDN-KA-0055,Uttara Kannada,15.0
TRK-KA-0273,GDN-KA-0055,Uttara Kannada,15.0
TRK-KA-0274,GDN-KA-0055,Uttara Kannada,5.0
TRK-KA-0275,GDN-KA-0055,Uttara Kannada,5.0
TRK-KA-0276,GDN-KA-0056,Uttara Kannada,15.0
TRK-KA-0277,GDN-KA-0056,Uttara Kannada,7.0
TRK-KA-0278,GDN-KA-0056,Uttara Kannada,15.0
TRK-KA-0279,GDN-KA-0056,Uttara Kannada,10.0
TRK-KA-0280,GDN-KA-0056,Uttara Kannada,7.0
TRK-KA-0281,GDN-KA-0057,Vijayanagara,10.0
TRK-KA-0282,GDN-KA-0057,Vijayanagara,5.0
TRK-KA-0283,GDN-KA-0057,Vijayanagara,7.0
TRK-KA-0284,GDN-KA-0057,Vijayanagara,10.0
TRK-KA-0285,GDN-KA-0057,Vijayanagara,10.0
TRK-KA-0286,GDN-KA-0058,Vijayanagara,7.0
TRK-KA-0287,GDN-KA-0058,Vijayanagara,12.0
TRK-KA-0288,GDN-KA-0058,Vijayanagara,15.0
TRK-KA-0289,GDN-KA-0058,Vijayanagara,10.0
TRK-KA-0290,GDN-KA-0058,Vijayanagara,15.0
TRK-KA-0291,GDN-KA-0059,Vijayapura,15.0
TRK-KA-0292,GDN-KA-0059,Vijayapura,5.0
TRK-KA-0293,GDN-KA-0059,Vijayapura,15.0
TRK-KA-0294,GDN-KA-0059,Vijayapura,10.0
TRK-KA-0295,GDN-KA-0059,Vijayapura,5.0
TRK-KA-0296,GDN-KA-0060,Vijayapura,7.0
TRK-KA-0297,GDN-KA-0060,Vijayapura,10.0
TRK-KA-0298,GDN-KA-0060,Vijayapura,5.0
TRK-KA-0299,GDN-KA-0060,Vijayapura,5.0
TRK-KA-0300,GDN-KA-0060,Vijayapura,15.0
TRK-KA-0301,GDN-KA-0061,Yadgir,7.0
TRK-KA-0302,GDN-KA-0061,Yadgir,10.0
TRK-KA-0303,GDN-KA-0061,Yadgir,10.0
TRK-KA-0304,GDN-KA-0061,Yadgir,15.0
TRK-KA-0305,GDN-KA-0061,Yadgir,7.0
TRK-KA-0306,GDN-KA-0062,Yadgir,10.0
TRK-KA-0307,GDN-KA-0062,Yadgir,7.0
TRK-KA-0308,GDN-KA-0062,Yadgir,10.0
TRK-KA-0309,GDN-KA-0062,Yadgir,15.0
TRK-KA-0310,GDN-KA-0062,Yadgir,12.0
