fps_id,district,cycle_id,commodity,demand_quantity_kg,allocated_quota_kg,portability_inflow_kg,portability_outflow_kg,lifted_quantity_kg
FPS-KA-BAG-0002,Bagalkot,2025-12,Wheat,230,225,5,0,230
FPS-KA-BAG-0002,Bagalkot,2025-12,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0002,Bagalkot,2026-01,Rice,215,220,5,5,215
FPS-KA-BAG-0002,Bagalkot,2026-01,Wheat,245,230,5,5,235
FPS-KA-BAG-0002,Bagalkot,2026-01,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0002,Bagalkot,2026-02,Rice,230,220,5,0,225
FPS-KA-BAG-0002,Bagalkot,2026-02,Wheat,245,250,0,5,240
FPS-KA-BAG-0002,Bagalkot,2026-02,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0002,Bagalkot,2026-03,Rice,240,240,0,0,240
FPS-KA-BAG-0002,Bagalkot,2026-03,Wheat,270,270,5,5,270
FPS-KA-BAG-0002,Bagalkot,2026-03,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0002,Bagalkot,2026-04,Rice,215,220,0,0,215
FPS-KA-BAG-0002,Bagalkot,2026-04,Wheat,245,245,0,0,245
FPS-KA-BAG-0002,Bagalkot,2026-04,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0002,Bagalkot,2026-05,Rice,215,215,5,5,215
FPS-KA-BAG-0002,Bagalkot,2026-05,Wheat,225,225,0,0,225
FPS-KA-BAG-0002,Bagalkot,2026-05,Coarse Grains,20,20,0,5,15
FPS-KA-BAG-0002,Bagalkot,2026-06,Rice,200,195,5,5,200
FPS-KA-BAG-0002,Bagalkot,2026-06,Wheat,215,205,0,5,205
FPS-KA-BAG-0002,Bagalkot,2026-06,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0002,Bagalkot,2026-07,Rice,220,220,5,5,220
FPS-KA-BAG-0002,Bagalkot,2026-07,Wheat,230,215,5,0,220
FPS-KA-BAG-0002,Bagalkot,2026-07,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0002,Bagalkot,2026-08,Rice,195,195,0,5,190
FPS-KA-BAG-0002,Bagalkot,2026-08,Wheat,230,220,5,0,225
FPS-KA-BAG-0002,Bagalkot,2026-08,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0003,Bagalkot,2025-09,Rice,140,135,0,5,135
FPS-KA-BAG-0003,Bagalkot,2025-09,Wheat,160,155,5,0,160
FPS-KA-BAG-0003,Bagalkot,2025-09,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0003,Bagalkot,2025-10,Rice,155,155,5,0,160
FPS-KA-BAG-0003,Bagalkot,2025-10,Wheat,155,145,0,5,145
FPS-KA-BAG-0003,Bagalkot,2025-10,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0003,Bagalkot,2025-11,Rice,145,140,5,5,145
FPS-KA-BAG-0003,Bagalkot,2025-11,Wheat,165,165,0,5,160
FPS-KA-BAG-0003,Bagalkot,2025-11,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0003,Bagalkot,2025-12,Rice,140,140,0,5,135
FPS-KA-BAG-0003,Bagalkot,2025-12,Wheat,175,180,5,0,180
FPS-KA-BAG-0003,Bagalkot,2025-12,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0003,Bagalkot,2026-01,Rice,150,150,5,0,155
FPS-KA-BAG-0003,Bagalkot,2026-01,Wheat,180,175,0,0,175
FPS-KA-BAG-0003,Bagalkot,2026-01,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0003,Bagalkot,2026-02,Rice,165,160,5,0,165
FPS-KA-BAG-0003,Bagalkot,2026-02,Wheat,190,180,5,0,185
FPS-KA-BAG-0003,Bagalkot,2026-02,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0003,Bagalkot,2026-03,Rice,170,165,5,0,170
FPS-KA-BAG-0003,Bagalkot,2026-03,Wheat,180,180,0,5,175
FPS-KA-BAG-0003,Bagalkot,2026-03,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0003,Bagalkot,2026-04,Rice,165,165,0,0,165
FPS-KA-BAG-0003,Bagalkot,2026-04,Wheat,180,175,0,5,175
FPS-KA-BAG-0003,Bagalkot,2026-04,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0003,Bagalkot,2026-05,Rice,150,145,0,0,145
FPS-KA-BAG-0003,Bagalkot,2026-05,Wheat,180,180,5,5,180
FPS-KA-BAG-0003,Bagalkot,2026-05,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0003,Bagalkot,2026-06,Rice,150,150,5,0,155
FPS-KA-BAG-0003,Bagalkot,2026-06,Wheat,165,160,5,5,165
FPS-KA-BAG-0003,Bagalkot,2026-06,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0003,Bagalkot,2026-07,Rice,150,145,5,5,150
FPS-KA-BAG-0003,Bagalkot,2026-07,Wheat,165,160,0,0,160
FPS-KA-BAG-0003,Bagalkot,2026-07,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0003,Bagalkot,2026-08,Rice,140,140,0,5,135
FPS-KA-BAG-0003,Bagalkot,2026-08,Wheat,160,155,5,0,160
FPS-KA-BAG-0003,Bagalkot,2026-08,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0004,Bagalkot,2025-09,Rice,220,225,5,0,225
FPS-KA-BAG-0004,Bagalkot,2025-09,Wheat,200,205,5,5,200
FPS-KA-BAG-0004,Bagalkot,2025-09,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0004,Bagalkot,2025-10,Rice,255,255,5,0,260
FPS-KA-BAG-0004,Bagalkot,2025-10,Wheat,225,225,5,5,225
FPS-KA-BAG-0004,Bagalkot,2025-10,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0004,Bagalkot,2025-11,Rice,255,250,5,0,255
FPS-KA-BAG-0004,Bagalkot,2025-11,Wheat,205,200,0,0,200
FPS-KA-BAG-0004,Bagalkot,2025-11,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0004,Bagalkot,2025-12,Rice,260,245,5,0,250
FPS-KA-BAG-0004,Bagalkot,2025-12,Wheat,220,210,5,5,215
FPS-KA-BAG-0004,Bagalkot,2025-12,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0004,Bagalkot,2026-01,Rice,250,235,0,5,235
FPS-KA-BAG-0004,Bagalkot,2026-01,Wheat,245,250,5,5,245
FPS-KA-BAG-0004,Bagalkot,2026-01,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0004,Bagalkot,2026-02,Rice,260,245,0,5,245
FPS-KA-BAG-0004,Bagalkot,2026-02,Wheat,235,225,5,0,230
FPS-KA-BAG-0004,Bagalkot,2026-02,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0004,Bagalkot,2026-03,Rice,250,250,0,0,250
FPS-KA-BAG-0004,Bagalkot,2026-03,Wheat,225,220,0,0,220
FPS-KA-BAG-0004,Bagalkot,2026-03,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0004,Bagalkot,2026-04,Rice,245,230,0,0,230
FPS-KA-BAG-0004,Bagalkot,2026-04,Wheat,250,245,5,5,250
FPS-KA-BAG-0004,Bagalkot,2026-04,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0004,Bagalkot,2026-05,Rice,230,220,0,5,220
FPS-KA-BAG-0004,Bagalkot,2026-05,Wheat,225,215,5,5,220
FPS-KA-BAG-0004,Bagalkot,2026-05,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0004,Bagalkot,2026-06,Rice,260,265,0,0,260
FPS-KA-BAG-0004,Bagalkot,2026-06,Wheat,215,215,5,0,220
FPS-KA-BAG-0004,Bagalkot,2026-06,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0004,Bagalkot,2026-07,Rice,225,225,5,5,225
FPS-KA-BAG-0004,Bagalkot,2026-07,Wheat,205,210,5,0,210
FPS-KA-BAG-0004,Bagalkot,2026-07,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0004,Bagalkot,2026-08,Rice,250,255,0,5,245
FPS-KA-BAG-0004,Bagalkot,2026-08,Wheat,215,220,5,0,220
FPS-KA-BAG-0004,Bagalkot,2026-08,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0005,Bagalkot,2025-09,Rice,245,240,5,5,245
FPS-KA-BAG-0005,Bagalkot,2025-09,Wheat,165,170,5,0,170
FPS-KA-BAG-0005,Bagalkot,2025-09,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0005,Bagalkot,2025-10,Rice,245,230,5,0,235
FPS-KA-BAG-0005,Bagalkot,2025-10,Wheat,170,170,0,5,165
FPS-KA-BAG-0005,Bagalkot,2025-10,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0005,Bagalkot,2025-11,Rice,240,240,5,5,240
FPS-KA-BAG-0005,Bagalkot,2025-11,Wheat,185,185,5,5,185
FPS-KA-BAG-0005,Bagalkot,2025-11,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0005,Bagalkot,2025-12,Rice,265,260,5,0,265
FPS-KA-BAG-0005,Bagalkot,2025-12,Wheat,190,185,5,0,190
FPS-KA-BAG-0005,Bagalkot,2025-12,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0005,Bagalkot,2026-01,Rice,270,270,0,0,270
FPS-KA-BAG-0005,Bagalkot,2026-01,Wheat,190,190,5,0,195
FPS-KA-BAG-0005,Bagalkot,2026-01,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0005,Bagalkot,2026-02,Rice,260,245,5,0,250
FPS-KA-BAG-0005,Bagalkot,2026-02,Wheat,210,210,5,0,215
FPS-KA-BAG-0005,Bagalkot,2026-02,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0005,Bagalkot,2026-03,Rice,280,275,0,0,275
FPS-KA-BAG-0005,Bagalkot,2026-03,Wheat,210,205,5,0,210
FPS-KA-BAG-0005,Bagalkot,2026-03,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0005,Bagalkot,2026-04,Rice,270,260,5,0,265
FPS-KA-BAG-0005,Bagalkot,2026-04,Wheat,195,195,5,0,200
FPS-KA-BAG-0005,Bagalkot,2026-04,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0005,Bagalkot,2026-05,Rice,280,270,5,5,275
FPS-KA-BAG-0005,Bagalkot,2026-05,Wheat,190,195,0,0,190
FPS-KA-BAG-0005,Bagalkot,2026-05,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0005,Bagalkot,2026-06,Rice,235,230,5,0,235
FPS-KA-BAG-0005,Bagalkot,2026-06,Wheat,170,170,5,0,175
FPS-KA-BAG-0005,Bagalkot,2026-06,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0005,Bagalkot,2026-07,Rice,255,260,5,0,260
FPS-KA-BAG-0005,Bagalkot,2026-07,Wheat,180,185,5,0,185
FPS-KA-BAG-0005,Bagalkot,2026-07,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0005,Bagalkot,2026-08,Rice,235,225,5,5,230
FPS-KA-BAG-0005,Bagalkot,2026-08,Wheat,185,180,5,0,185
FPS-KA-BAG-0005,Bagalkot,2026-08,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0006,Bagalkot,2025-09,Rice,140,145,5,0,145
FPS-KA-BAG-0006,Bagalkot,2025-09,Wheat,185,190,5,0,190
FPS-KA-BAG-0006,Bagalkot,2025-09,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0006,Bagalkot,2025-10,Rice,165,160,5,5,165
FPS-KA-BAG-0006,Bagalkot,2025-10,Wheat,175,165,0,0,165
FPS-KA-BAG-0006,Bagalkot,2025-10,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0006,Bagalkot,2025-11,Rice,155,160,5,0,160
FPS-KA-BAG-0006,Bagalkot,2025-11,Wheat,180,175,0,5,175
FPS-KA-BAG-0006,Bagalkot,2025-11,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0006,Bagalkot,2025-12,Rice,165,160,0,0,160
FPS-KA-BAG-0006,Bagalkot,2025-12,Wheat,190,190,5,0,195
FPS-KA-BAG-0006,Bagalkot,2025-12,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0006,Bagalkot,2026-01,Rice,160,165,5,0,165
FPS-KA-BAG-0006,Bagalkot,2026-01,Wheat,180,180,5,0,185
FPS-KA-BAG-0006,Bagalkot,2026-01,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0006,Bagalkot,2026-02,Rice,180,175,5,0,180
FPS-KA-BAG-0006,Bagalkot,2026-02,Wheat,185,190,5,0,190
FPS-KA-BAG-0006,Bagalkot,2026-02,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0006,Bagalkot,2026-03,Rice,185,190,0,5,180
FPS-KA-BAG-0006,Bagalkot,2026-03,Wheat,195,200,5,5,195
FPS-KA-BAG-0006,Bagalkot,2026-03,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0006,Bagalkot,2026-04,Rice,170,160,5,0,165
FPS-KA-BAG-0006,Bagalkot,2026-04,Wheat,190,190,5,0,195
FPS-KA-BAG-0006,Bagalkot,2026-04,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0006,Bagalkot,2026-05,Rice,170,160,5,5,165
FPS-KA-BAG-0006,Bagalkot,2026-05,Wheat,195,190,5,5,195
FPS-KA-BAG-0006,Bagalkot,2026-05,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0006,Bagalkot,2026-06,Rice,160,165,5,0,165
FPS-KA-BAG-0006,Bagalkot,2026-06,Wheat,180,175,5,0,180
FPS-KA-BAG-0006,Bagalkot,2026-06,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0006,Bagalkot,2026-07,Rice,155,155,5,5,155
FPS-KA-BAG-0006,Bagalkot,2026-07,Wheat,185,190,5,0,190
FPS-KA-BAG-0006,Bagalkot,2026-07,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0006,Bagalkot,2026-08,Rice,145,145,5,5,145
FPS-KA-BAG-0006,Bagalkot,2026-08,Wheat,180,175,0,5,175
FPS-KA-BAG-0006,Bagalkot,2026-08,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0007,Bagalkot,2025-09,Rice,200,200,0,0,200
FPS-KA-BAG-0007,Bagalkot,2025-09,Wheat,225,220,5,5,225
FPS-KA-BAG-0007,Bagalkot,2025-09,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0007,Bagalkot,2025-10,Rice,210,215,0,0,210
FPS-KA-BAG-0007,Bagalkot,2025-10,Wheat,235,225,0,5,225
FPS-KA-BAG-0007,Bagalkot,2025-10,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0007,Bagalkot,2025-11,Rice,220,220,5,0,225
FPS-KA-BAG-0007,Bagalkot,2025-11,Wheat,240,245,0,0,240
FPS-KA-BAG-0007,Bagalkot,2025-11,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0007,Bagalkot,2025-12,Rice,250,240,5,5,245
FPS-KA-BAG-0007,Bagalkot,2025-12,Wheat,245,245,5,5,245
FPS-KA-BAG-0007,Bagalkot,2025-12,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0007,Bagalkot,2026-01,Rice,230,235,5,0,235
FPS-KA-BAG-0007,Bagalkot,2026-01,Wheat,270,270,5,5,270
FPS-KA-BAG-0007,Bagalkot,2026-01,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0007,Bagalkot,2026-02,Rice,250,240,5,0,245
FPS-KA-BAG-0007,Bagalkot,2026-02,Wheat,280,265,0,5,265
FPS-KA-BAG-0007,Bagalkot,2026-02,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0007,Bagalkot,2026-03,Rice,250,255,5,0,255
FPS-KA-BAG-0007,Bagalkot,2026-03,Wheat,290,285,5,5,290
FPS-KA-BAG-0007,Bagalkot,2026-03,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0007,Bagalkot,2026-04,Rice,255,260,5,5,255
FPS-KA-BAG-0007,Bagalkot,2026-04,Wheat,280,285,0,5,275
FPS-KA-BAG-0007,Bagalkot,2026-04,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0007,Bagalkot,2026-05,Rice,235,235,5,5,235
FPS-KA-BAG-0007,Bagalkot,2026-05,Wheat,240,230,0,5,230
FPS-KA-BAG-0007,Bagalkot,2026-05,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0007,Bagalkot,2026-06,Rice,235,240,0,0,235
FPS-KA-BAG-0007,Bagalkot,2026-06,Wheat,235,240,0,0,235
FPS-KA-BAG-0007,Bagalkot,2026-06,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0007,Bagalkot,2026-07,Rice,225,225,5,0,230
FPS-KA-BAG-0007,Bagalkot,2026-07,Wheat,255,245,5,0,250
FPS-KA-BAG-0007,Bagalkot,2026-07,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0007,Bagalkot,2026-08,Rice,210,205,5,5,210
FPS-KA-BAG-0007,Bagalkot,2026-08,Wheat,225,225,5,5,225
FPS-KA-BAG-0007,Bagalkot,2026-08,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0008,Bagalkot,2025-09,Rice,155,150,5,5,155
FPS-KA-BAG-0008,Bagalkot,2025-09,Wheat,170,160,5,0,165
FPS-KA-BAG-0008,Bagalkot,2025-09,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0008,Bagalkot,2025-10,Rice,145,140,5,0,145
FPS-KA-BAG-0008,Bagalkot,2025-10,Wheat,160,165,0,5,155
FPS-KA-BAG-0008,Bagalkot,2025-10,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0008,Bagalkot,2025-11,Rice,160,150,0,5,150
FPS-KA-BAG-0008,Bagalkot,2025-11,Wheat,170,165,0,0,165
FPS-KA-BAG-0008,Bagalkot,2025-11,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0008,Bagalkot,2025-12,Rice,165,165,0,0,165
FPS-KA-BAG-0008,Bagalkot,2025-12,Wheat,190,180,5,5,185
FPS-KA-BAG-0008,Bagalkot,2025-12,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0008,Bagalkot,2026-01,Rice,160,155,5,0,160
FPS-KA-BAG-0008,Bagalkot,2026-01,Wheat,195,185,0,5,185
FPS-KA-BAG-0008,Bagalkot,2026-01,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0008,Bagalkot,2026-02,Rice,165,170,5,0,170
FPS-KA-BAG-0008,Bagalkot,2026-02,Wheat,190,180,5,5,185
FPS-KA-BAG-0008,Bagalkot,2026-02,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0008,Bagalkot,2026-03,Rice,170,165,0,0,165
FPS-KA-BAG-0008,Bagalkot,2026-03,Wheat,190,180,5,5,185
FPS-KA-BAG-0008,Bagalkot,2026-03,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0008,Bagalkot,2026-04,Rice,170,160,0,5,160
FPS-KA-BAG-0008,Bagalkot,2026-04,Wheat,195,195,5,0,200
FPS-KA-BAG-0008,Bagalkot,2026-04,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0008,Bagalkot,2026-05,Rice,165,170,5,5,165
FPS-KA-BAG-0008,Bagalkot,2026-05,Wheat,180,175,5,0,180
FPS-KA-BAG-0008,Bagalkot,2026-05,Coarse Grains,20,20,0,5,15
FPS-KA-BAG-0008,Bagalkot,2026-06,Rice,150,150,5,5,150
FPS-KA-BAG-0008,Bagalkot,2026-06,Wheat,185,190,5,5,185
FPS-KA-BAG-0008,Bagalkot,2026-06,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0008,Bagalkot,2026-07,Rice,145,140,5,0,145
FPS-KA-BAG-0008,Bagalkot,2026-07,Wheat,165,155,5,0,160
FPS-KA-BAG-0008,Bagalkot,2026-07,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0008,Bagalkot,2026-08,Rice,155,150,5,0,155
FPS-KA-BAG-0008,Bagalkot,2026-08,Wheat,165,165,5,0,170
FPS-KA-BAG-0008,Bagalkot,2026-08,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0009,Bagalkot,2025-09,Rice,165,160,5,0,165
FPS-KA-BAG-0009,Bagalkot,2025-09,Wheat,170,165,5,0,170
FPS-KA-BAG-0009,Bagalkot,2025-09,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0009,Bagalkot,2025-10,Rice,170,160,5,5,165
FPS-KA-BAG-0009,Bagalkot,2025-10,Wheat,165,160,0,0,160
FPS-KA-BAG-0009,Bagalkot,2025-10,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0009,Bagalkot,2025-11,Rice,160,155,5,0,160
FPS-KA-BAG-0009,Bagalkot,2025-11,Wheat,190,190,0,5,185
FPS-KA-BAG-0009,Bagalkot,2025-11,Coarse Grains,15,15,5,5,15
FPS-KA-BAG-0009,Bagalkot,2025-12,Rice,175,175,5,0,180
FPS-KA-BAG-0009,Bagalkot,2025-12,Wheat,170,160,0,5,160
FPS-KA-BAG-0009,Bagalkot,2025-12,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0009,Bagalkot,2026-01,Rice,190,185,5,0,190
FPS-KA-BAG-0009,Bagalkot,2026-01,Wheat,185,180,0,0,180
FPS-KA-BAG-0009,Bagalkot,2026-01,Coarse Grains,15,15,0,0,15
FPS-KA-BAG-0009,Bagalkot,2026-02,Rice,195,190,5,5,195
FPS-KA-BAG-0009,Bagalkot,2026-02,Wheat,205,195,0,0,195
FPS-KA-BAG-0009,Bagalkot,2026-02,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0009,Bagalkot,2026-03,Rice,195,190,5,5,195
FPS-KA-BAG-0009,Bagalkot,2026-03,Wheat,195,200,5,5,195
FPS-KA-BAG-0009,Bagalkot,2026-03,Coarse Grains,20,20,5,0,25
FPS-KA-BAG-0009,Bagalkot,2026-04,Rice,165,160,0,0,160
FPS-KA-BAG-0009,Bagalkot,2026-04,Wheat,175,170,0,0,170
FPS-KA-BAG-0009,Bagalkot,2026-04,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0009,Bagalkot,2026-05,Rice,185,185,5,0,190
FPS-KA-BAG-0009,Bagalkot,2026-05,Wheat,185,185,5,0,190
FPS-KA-BAG-0009,Bagalkot,2026-05,Coarse Grains,20,20,0,0,20
FPS-KA-BAG-0009,Bagalkot,2026-06,Rice,160,150,0,5,150
FPS-KA-BAG-0009,Bagalkot,2026-06,Wheat,175,175,5,0,180
FPS-KA-BAG-0009,Bagalkot,2026-06,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0009,Bagalkot,2026-07,Rice,160,155,0,0,155
FPS-KA-BAG-0009,Bagalkot,2026-07,Wheat,170,170,5,5,170
FPS-KA-BAG-0009,Bagalkot,2026-07,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0009,Bagalkot,2026-08,Rice,170,170,5,5,170
FPS-KA-BAG-0009,Bagalkot,2026-08,Wheat,170,170,0,0,170
FPS-KA-BAG-0009,Bagalkot,2026-08,Coarse Grains,20,20,5,5,20
FPS-KA-BAG-0010,Bagalkot,2025-09,Rice,315,305,5,5,310
FPS-KA-BAG-0010,Bagalkot,2025-09,Wheat,230,230,5,5,230
FPS-KA-BAG-0010,Bagalkot,2025-09,Coarse Grains,15,15,5,0,20
FPS-KA-BAG-0010,Bagalkot,2025-10,Rice,295,285,0,0,285
FPS-KA-BAG-0010,Bagalkot,2025-10,Wheat,240,235,0,0,235
FPS-KA-BAG-0010,Bagalkot,2025-10,Coarse Grains,15,15,0,5,10
FPS-KA-BAG-0010,Bagalkot,2025-11,Rice,325,330,0,0,325
FPS-KA-BAG-0010,Bagalkot,2025-11,Wheat,240,230,5,0,235
